country_lc,country_en,country_code,postal_code,region1_lc,region1_en,region2_lc,region2_en,region3_lc,region3_en,timezone,utc,latitude,longitude
Democratic Republic of the Congo,Democratic Republic of the Congo,CD,,Bas-Uele,Bas-Uele,Aketi,Aketi,,,Africa/Lubumbashi,UTC +2.0,2.98097405101786,23.7544095277818
Democratic Republic of the Congo,Democratic Republic of the Congo,CD,,Bas-Uele,Bas-Uele,Aketi (ville),Aketi (ville),,,Africa/Lubumbashi,UTC +2.0,2.74795554939112,23.8062966473897
Democratic Republic of the Congo,Democratic Republic of the Congo,CD,,Bas-Uele,Bas-Uele,Ango,Ango,,,Africa/Lubumbashi,UTC +2.0,4.47242222009327,26.0711539411462
Democratic Republic of the Congo,Democratic Republic of the Congo,CD,,Bas-Uele,Bas-Uele,Bambesa,Bambesa,,,Africa/Lubumbashi,UTC +2.0,3.09211067412414,25.9726958526722
Democratic Republic of the Congo,Democratic Republic of the Congo,CD,,Bas-Uele,Bas-Uele,Bondo,Bondo,,,Africa/Lubumbashi,UTC +2.0,4.19434195712092,24.1000346562213
Democratic Republic of the Congo,Democratic Republic of the Congo,CD,,Bas-Uele,Bas-Uele,Bondo (ville),Bondo (ville),,,Africa/Lubumbashi,UTC +2.0,3.79446120964172,23.6599284655343
Democratic Republic of the Congo,Democratic Republic of the Congo,CD,,Bas-Uele,Bas-Uele,Buta,Buta,,,Africa/Lubumbashi,UTC +2.0,2.81775242907518,25.1729422752771
Democratic Republic of the Congo,Democratic Republic of the Congo,CD,,Bas-Uele,Bas-Uele,Buta (ville),Buta (ville),,,Africa/Lubumbashi,UTC +2.0,2.81839962305167,24.7392927255252
Democratic Republic of the Congo,Democratic Republic of the Congo,CD,,Bas-Uele,Bas-Uele,Dingila,Dingila,,,Africa/Lubumbashi,UTC +2.0,3.65051752446254,26.0741977984111
Democratic Republic of the Congo,Democratic Republic of the Congo,CD,,Bas-Uele,Bas-Uele,Poko,Poko,,,Africa/Lubumbashi,UTC +2.0,3.01689948957794,26.8225266017064
